"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","returns"
4.935357,4.944286,4.858571,4.932857,756856800,4.198444,-0.00568707845543825
5.010714,5.028929,4.9875,5,732891600,4.255591,0.0136113818016617
5.058929,5.149286,5,5.133929,1167773600,4.369581,0.0267858000000001
5.118214,5.186429,5.033214,5.132143,1036490000,4.368062,-0.000347881710089926
4.96,5.035714,4.791071,4.8175,1795292800,4.100264,-0.0613083072704717
4.905357,4.941429,4.821429,4.902143,1496182800,4.172304,0.0175699014011417
5.211071,5.303571,4.891429,5.214286,2186629200,4.437975,0.0636748050801457
5.221071,5.318571,5.135,5.1375,1161098400,4.37262,-0.0147260813848723
5.154643,5.194643,4.984643,5.051071,1106988400,4.29906,-0.0168231630170316
5.106071,5.124286,4.697143,4.705714,1762392800,4.005119,-0.068373024255648
4.772857,4.835,4.563214,4.821429,1750156800,4.103606,0.0245903172185984
4.880357,4.891429,4.791071,4.874643,852644800,4.148897,0.0110369767967131
4.830714,4.855357,4.696429,4.708929,679187600,4.007858,-0.0339951048722952
4.746429,4.831071,4.582143,4.830357,925170400,4.111206,0.0257867553322635
4.819286,4.901429,4.736786,4.8225,949936400,4.104519,-0.00162658784847591
4.884286,4.887857,4.714286,4.786071,808096800,4.073512,-0.00755396578538103
4.6825,4.75,4.4675,4.513929,1125395600,3.841887,-0.056861254252183
4.397143,4.5625,4.296429,4.464286,1410749200,3.799635,-0.0109977361185787
4.582857,4.619643,4.517857,4.563929,752911600,3.884444,0.0223200305715179
4.581786,4.582143,4.418214,4.429643,739006800,3.770151,-0.0294233323962751
4.383571,4.459286,4.273214,4.282143,992852000,3.644611,-0.033298394475582
4.178929,4.232143,3.986429,4.180357,1866690000,3.557978,-0.0237698741027564
4.3575,4.410714,4.279286,4.359286,1195062400,3.710268,0.0428023252559531
4.427143,4.446429,4.303571,4.365,803317200,3.715131,0.00131076511153427
4.364643,4.605714,4.321429,4.556071,1303047200,3.877755,0.0437734249713631
4.686429,4.741071,4.654643,4.7325,1061765600,4.027919,0.0387239356015303
4.753214,4.762143,4.634286,4.681071,866838000,3.984146,-0.0108671949286846
4.661786,4.834643,4.636071,4.832143,911834000,4.112726,0.0322729563384105
4.763929,4.809286,4.717857,4.723214,707439600,4.020015,-0.022542586177603
4.678214,4.728929,4.5225,4.529286,1179365600,3.854957,-0.0410584826349176
4.638571,4.792143,4.626429,4.788571,1166860800,4.07564,0.057246329774715
4.738214,4.9375,4.725,4.866071,1435582400,4.141603,0.0161843689902477
4.981786,4.9875,4.9075,4.945714,876887200,4.209388,0.0163670032763599
4.997857,5.204643,4.994286,5.148571,1316842800,4.382044,0.0410167268062811
5.1775,5.208571,4.860714,4.884286,2328222400,4.157105,-0.0513317190342717
4.841429,4.913214,4.739643,4.821786,1901261600,4.10391,-0.0127961384734637
4.714643,4.725,4.642857,4.706071,1430576000,4.005422,-0.0239983690690546
4.8925,4.93,4.783929,4.8825,1487838800,4.155585,0.0374896596332697
4.925,4.939286,4.776786,4.838929,971885600,4.118501,-0.00892391193036357
4.856786,4.978571,4.848214,4.8875,1022770000,4.159841,0.0100375516979068
4.958214,4.964286,4.880357,4.9,656163200,4.17048,0.00255754475703318
4.8775,4.963571,4.864286,4.9575,607320000,4.21942,0.0117346938775509
4.963929,5.021071,4.914286,4.943214,793371600,4.20726,-0.00288169440242048
4.966429,5.101786,4.9225,5.032857,1064089600,4.283556,0.0181345577998444
5.107857,5.112857,4.978571,5.0275,1026880400,4.278998,-0.00106440536657415
5.005357,5.063929,4.975714,5.011071,691840800,4.265016,-0.0032678269517652
5.040714,5.166071,5.011071,5.148214,1138880400,4.381738,0.0273680017704798
5.240357,5.351786,5.2375,5.295714,1052161600,4.50728,0.0286507126549129
5.244286,5.472143,5.243571,5.470714,1192550800,4.656224,0.0330455912082865
5.516786,5.535714,5.401786,5.456071,975268000,4.643761,-0.00267661588597035
5.491786,5.518571,5.44,5.517857,658198800,4.696351,0.0113242661248361
5.48,5.521429,5.455357,5.481071,615101200,4.66504,-0.00666671861920309
5.5225,5.621786,5.461786,5.583571,837068400,4.752278,0.018700724730623
5.591071,5.663929,5.5675,5.658929,792069600,4.816418,0.0134963807212265
5.635,5.685,5.6075,5.64,692518400,4.800309,-0.00334497923547017
5.642857,5.645714,5.482143,5.58,656958400,4.749242,-0.0106382978723404
5.656071,5.770714,5.632143,5.766071,943471200,4.90761,0.0333460573476703
5.838929,5.996786,5.820357,5.996786,835928800,5.103974,0.0400125145874894
6.078571,6.111071,5.952857,5.995,1104286400,5.102453,-0.000297826202235729
5.983929,5.995714,5.914286,5.956786,667590000,5.06993,-0.00637431192660554
6.053214,6.138571,5.471786,5.793929,1643992000,4.93132,-0.0273397432776669
5.821786,5.974286,5.778571,5.973214,988176000,5.083912,0.0309435963057192
5.999286,6.056071,5.839286,5.963571,1077930000,5.075705,-0.00161437376929729
5.912143,6.077857,5.898214,6.056429,1067830400,5.154737,0.0155708718819647
6.1675,6.18,6.042143,6.169643,1127613200,5.251097,0.0186931936294474
6.125,6.221071,6.108929,6.196429,823676000,5.273894,0.00434158021785058
6.222857,6.236786,6.071429,6.086429,1291780000,5.180273,-0.0177521601554702
6.083929,6.246429,6.07,6.227143,1649499600,5.300035,0.0231193036179342
6.734286,6.735714,6.527143,6.648571,1795164000,5.658719,0.0676759791769677
6.636071,6.686071,6.401429,6.640357,1288481600,5.65173,-0.00123545345308029
6.6025,6.639286,6.487857,6.527857,973602000,5.555977,-0.0169418602042029
6.6175,6.620357,6.531429,6.596429,706876800,5.614344,0.010504519323876
6.623214,6.663929,6.596429,6.610357,540554000,5.626196,0.00211144545025799
6.649286,6.763214,6.5975,6.678571,939414000,5.684255,0.0103192611231133
6.701071,6.79,6.605357,6.783929,833310800,5.773927,0.0157755304240983
6.735714,6.789286,6.428571,6.694286,805036400,5.69763,-0.0132140239085639
6.7575,6.765714,6.553214,6.709643,1002114400,5.710701,0.00229404599683969
6.6175,6.748571,6.58,6.649286,804176800,5.659328,-0.00899556056857265
6.680357,6.857143,6.616786,6.849643,954727200,5.829857,0.0301321074172476
6.8075,6.881429,6.6475,6.653571,994327600,5.662977,-0.028625141485476
6.666786,6.675,5.991786,6.266786,1890378000,5.333776,-0.0581319414792448
6.1125,6.254286,5.900357,5.906071,1526380800,5.026767,-0.0575598081696104
5.902857,5.989286,5.379643,5.491429,1769065200,4.673854,-0.0702060642345816
5.744643,6.106429,5.491429,6.07,1739446800,5.166289,0.105358914774278
6.327143,6.341786,5.847857,5.9325,1449168000,5.04926,-0.0226523887973641
5.9425,6.056786,5.725,5.867857,1487410400,4.99424,-0.0108964180362411
5.903571,5.965,5.690357,5.9425,1383494000,5.057771,0.0127206576438383
5.932143,6.007143,5.789286,5.855357,1154428800,4.983603,-0.0146643668489693
5.916786,6.135357,5.840357,6.030357,1543642800,5.132549,0.0298871614489091
5.922857,6.155357,5.881071,6.016429,1217809600,5.120693,-0.00230964767094233
6.142857,6.144643,6.0625,6.126429,465757600,5.214315,0.0182832706909697
6.199643,6.331071,6.155357,6.162143,1305754800,5.244713,0.0058294970854964
6.257857,6.278214,6.071786,6.243214,1317030400,5.313714,0.0131562996834056
6.315,6.45,6.2625,6.436429,1150912000,5.478163,0.0309480021027631
6.408214,6.613214,6.398214,6.581786,1050926800,5.601879,0.0225834853456783
6.690714,6.703571,6.417857,6.507857,1187802000,5.538956,-0.0112323615504971
6.495,6.576429,6.346429,6.387857,961469600,5.436821,-0.0184392496639061
6.326786,6.460714,6.321071,6.421786,773799600,5.4657,0.00531148396089631
6.531786,6.642857,6.514643,6.625,892402000,5.638659,0.0316444677539862
6.649643,6.789286,6.647143,6.783929,899810800,5.773927,0.0239892830188679
6.805,6.963929,6.715714,6.939286,1066066400,5.906154,0.0229007408538622
6.913929,6.987857,6.881786,6.936071,722377600,5.903417,-0.000463304149735277
6.955357,7.029643,6.6925,6.733571,1110925200,5.731066,-0.0291952028749417
6.908571,6.945714,6.634286,6.816429,1225660800,5.801587,0.0123052092270208
6.7925,6.861429,6.707857,6.851071,864617600,5.831073,0.005082133181465
6.798929,6.9,6.769286,6.799643,674312800,5.787302,-0.00750656357232327
6.811429,6.880357,6.535,6.585714,1024693600,5.605222,-0.0314617988032606
6.661429,6.690357,6.378571,6.535,1222603200,5.562058,-0.00770060770935399
6.535,6.594286,6.460714,6.54,827478400,5.566314,0.000765110941086444
6.6225,6.708214,6.5475,6.686071,774057200,5.690636,0.02233501529052
6.79,6.925357,6.781786,6.925357,993960800,5.894299,0.0357887315285763
6.965357,7.118929,6.956786,7.1,480202800,6.042941,0.025217905733957
7.1075,7.177143,7.029286,7.105357,703732400,6.047501,0.000754507042253438
7.105357,7.248571,7.064286,7.091786,795527600,6.03595,-0.00190996736687543
7.163929,7.198571,7.031429,7.136786,699647200,6.074249,0.00634536913550399
7.125,7.160714,7.0625,7.074286,539333200,6.021053,-0.00875744347665741
7.116786,7.152143,6.876786,6.958571,1079178800,5.922566,-0.0163571277723292
6.978929,7.049643,6.881786,6.961786,842066400,5.925303,0.000462020147527387
6.8375,6.892857,6.388929,6.430357,1455832000,5.472996,-0.0763351530770984
6.473214,6.557143,6.079643,6.344286,2072193200,5.399738,-0.0133851044351037
6.433571,6.516429,6.1,6.116071,1523816000,5.205501,-0.0359717389789805
6.117857,6.410714,6.010714,6.407143,1813882000,5.453237,0.0475913376414367
6.342143,6.464286,6.264643,6.357857,1482975200,5.411288,-0.00769235211388286
6.285714,6.351786,6.071429,6.1675,1232285600,5.249273,-0.0299404343318825
6.34,6.407857,6.256071,6.385,1100450400,5.434391,0.0352655046615322
6.347143,6.400714,5.880714,6.037143,2343278000,5.138323,-0.0544803445575567
5.901071,6.036071,5.596429,5.701429,2213845200,4.85259,-0.055608091443254
5.768214,5.905714,5.657857,5.746071,1757859600,4.890585,0.0078299668381383
5.775357,5.919643,5.700357,5.762857,1724343600,4.904873,0.00292130048514894
5.287857,5.713571,5.214286,5.558571,2434754000,4.731001,-0.0354487366249068
4.863929,5,4.505,4.966786,3372969600,4.227324,-0.106463513734015
