"","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted"
"2101",255.259995,257.98999,248.149994,249.020004,19641300,249.020004
"2102",246.5,252.240005,245.619995,249.529999,20006800,249.529999
"2103",249.399994,255.75,246.610001,254.820007,18351300,254.820007
"2104",259.399994,259.600006,254.820007,256.820007,18826300,256.820007
"2105",257.809998,263.329987,256.899994,261.790009,20200200,261.790009
"2106",261.980011,266.079987,260.100006,261.899994,20142500,261.899994
"2107",265.350006,268.329987,264.799988,266.630005,20009800,266.630005
"2108",261.209991,265.149994,259.179993,259.940002,16367600,259.940002
"2109",262.200012,264.869995,260.839996,264.649994,12822300,264.649994
"2110",261.779999,265.690002,258.23999,258.660004,18696900,258.660004
"2111",259.209991,260.179993,254.820007,258.119995,23133400,258.119995
"2112",259.75,264.619995,259.149994,263.76001,16312800,263.76001
"2113",264.519989,264.75,262.170013,264.450012,14107800,264.450012
"2114",270.200012,280.179993,267.869995,275.75,31019300,275.75
"2115",277.579987,279.100006,273.390015,276.140015,18063300,276.140015
"2116",277.619995,278.75,271.5,271.820007,15577800,271.820007
"2117",267.600006,269.040009,263.670013,266.720001,15416100,266.720001
"2118",267.380005,271.369995,265.299988,265.929993,16622700,265.929993
"2119",265.529999,268.549988,259.880005,261.399994,13587000,261.399994
"2120",263.059998,269.700012,262.880005,267.559998,18763200,267.559998
"2121",279.559998,283.049988,276.369995,278.730011,28998600,278.730011
"2122",279.869995,282.450012,275.040009,278.119995,16720000,278.119995
"2123",278.799988,285.23999,276.820007,284.790009,17535200,284.790009
"2124",283.160004,285.230011,274.26001,277.109985,21322900,277.109985
"2125",278.76001,284.51001,276.309998,283.290009,16287200,283.290009
"2126",278.790009,278.790009,267.26001,267.670013,23121800,267.670013
"2127",276.549988,283.600006,273.779999,280.829987,32368100,280.829987
"2128",274.5,276.700012,259.100006,263.109985,47247800,263.109985
"2129",264.600006,270.470001,257.339996,261.359985,27165700,261.359985
"2130",263.160004,270.049988,260.880005,265.299988,17961900,265.299988
"2131",281,288.940002,278.619995,287.380005,35364400,287.380005
"2132",291.899994,297.380005,288.950012,294.679993,23823600,294.679993
"2133",293.950012,294.600006,288.059998,293.410004,13891000,293.410004
"2134",289.869995,292.579987,278.529999,278.769989,25117700,278.769989
"2135",273.100006,274,264,272.429993,29067700,272.429993
"2136",273.470001,278.399994,272.480011,276.480011,14957000,276.480011
"2137",277.179993,279.75,274.429993,275.079987,12899500,275.079987
"2138",277.720001,277.76001,273.100006,276.950012,10391200,276.950012
"2139",275.049988,279.410004,274.630005,278.959991,12970400,278.959991
"2140",277.679993,277.679993,273.290009,275,15040300,275
"2141",274.519989,277.390015,271.839996,271.970001,12152900,271.970001
"2142",271.019989,273.470001,269.190002,272.940002,12963700,272.940002
"2143",272.559998,273,269.410004,269.700012,18114700,269.700012
"2144",270.890015,270.950012,264.529999,268.429993,20990800,268.429993
"2145",268.48999,277.820007,267.869995,276.920013,16930400,276.920013
"2146",278.140015,280.179993,272.649994,275.589996,12467000,275.589996
"2147",277.390015,279.130005,274.820007,277.809998,7808400,277.809998
"2148",276.029999,277.700012,271.01001,276.970001,16693300,276.970001
"2149",279.160004,289.299988,278.959991,286.549988,20738900,286.549988
"2150",285.359985,291.779999,280.829987,287.519989,17361600,287.519989
"2151",286.25,286.649994,281.070007,281.850006,12921700,281.850006
"2152",280.299988,283.459991,279.299988,279.700012,10880300,279.700012
"2153",279.190002,288.48999,278.200012,285.579987,13007700,285.579987
"2154",286.01001,286.429993,281.549988,283.399994,10747700,283.399994
"2155",283.660004,287.630005,271.75,277.920013,25189700,277.920013
"2156",275.540009,278.730011,271.859985,277.119995,20065100,277.119995
"2157",274.529999,276.480011,270.25,273.549988,14391400,273.549988
"2158",273.369995,277.220001,271.559998,274.190002,16376900,274.190002
"2159",274.829987,276.079987,267.470001,275.549988,23979500,275.549988
"2160",274.76001,277.859985,272.51001,275.670013,15885000,275.670013
"2161",277.070007,280.440002,273.609985,274.480011,16377800,274.480011
"2162",275.769989,278,271.140015,276.399994,26693200,276.399994
"2163",272.980011,274.670013,267.790009,272.790009,16553700,272.790009
"2164",271.5,271.5,264.630005,267.089996,17312900,267.089996
"2165",266.890015,272.170013,266.230011,268.109985,14329000,268.109985
"2166",268.880005,270.399994,266.200012,267.399994,6702000,267.399994
"2167",268.73999,277.299988,265.660004,277,23299700,277
"2168",276.950012,280.51001,276.279999,276.779999,16383000,276.779999
"2169",277.950012,278.079987,271.709991,271.869995,11803800,271.869995
"2170",272,277.089996,269.809998,273.160004,12900400,273.160004
"2171",274.779999,275,265.200012,268.940002,15106100,268.940002
"2172",268.290009,272.399994,268.209991,270.970001,9871600,270.970001
"2173",262,267.75,260.01001,263.309998,24354100,263.309998
"2174",265.899994,271.609985,264.779999,268.73999,15789800,268.73999
"2175",268.309998,268.950012,263.179993,267.570007,18528300,267.570007
"2176",260.480011,263.470001,255.899994,256.839996,30412300,256.839996
"2177",256.630005,259.720001,250.300003,251.089996,26383500,251.089996
"2178",251.550003,253.949997,249.199997,251.639999,19528900,251.639999
"2179",253.399994,255.029999,244.610001,245.639999,29739400,245.639999
"2180",247.899994,253.860001,247.160004,251.360001,24942900,251.360001
"2181",256.899994,262.200012,252.720001,261.100006,28028500,261.100006
"2182",268.929993,270.320007,263.600006,267.480011,25199900,267.480011
"2183",269.26001,273.600006,267.48999,272.869995,20838700,272.869995
"2184",272.01001,278.470001,272,274.5,21954000,274.5
"2185",278.140015,280.100006,271.51001,278.01001,19087000,278.01001
"2186",278.140015,285.390015,277.809998,282.049988,19373600,282.049988
"2187",282.529999,283.450012,268.119995,272.140015,35346200,272.140015
"2188",277.179993,286.790009,264.700012,265,37758800,265
"2189",265.299988,266.559998,254.850006,258.329987,30389500,258.329987
"2190",259.519989,264.170013,254.910004,262.01001,22914300,262.01001
"2191",264,268.850006,263.269989,267.079987,17320800,267.079987
"2192",265.619995,269.200012,263.839996,266.649994,14223400,266.649994
"2193",267.01001,268.160004,264,266.48999,16060000,266.48999
"2194",266.799988,269.170013,265.670013,268.100006,12454400,268.100006
"2195",268.75,269.859985,265,266.579987,13755200,266.579987
"2196",266.440002,273.390015,265.75,269.450012,14613400,269.450012
"2197",272.450012,273.799988,267.720001,271.869995,14687200,271.869995
"2198",271.890015,273.579987,268.48999,270.390015,12828600,270.390015
"2199",270.519989,271.179993,268.339996,270.5,9097600,270.5
"2200",270.799988,276.600006,270.049988,273.970001,15417200,273.970001
"2201",271.23999,273.970001,269.579987,273.570007,12763200,273.570007
"2202",269.570007,271.950012,266.029999,269.390015,15249100,269.390015
"2203",269.859985,270.269989,260.149994,261.559998,25622600,261.559998
"2204",257.950012,263.070007,257.529999,260.329987,17434900,260.329987
"2205",259.5,267.459991,254.960007,265.859985,21924600,265.859985
"2206",262.329987,266.380005,258.390015,264.309998,15736100,264.309998
"2207",262.299988,266.940002,254.039993,254.690002,19053100,254.690002
"2208",256.470001,265.549988,256.470001,257.619995,26619500,257.619995
"2209",260.820007,266.649994,257.899994,264.910004,22157300,264.910004
"2210",265.779999,266.709991,258.649994,259,15191700,259
"2211",260.290009,260.98999,255.100006,255.410004,15513500,255.410004
"2212",256.470001,266.48999,253.5,257.640015,31626500,257.640015
"2213",260.670013,265.450012,255.610001,264.279999,26820100,264.279999
"2214",265.549988,265.579987,255.050003,255.309998,18391800,255.309998
"2215",261.179993,268.529999,259.809998,265.73999,22039700,265.73999
"2216",268.640015,268.970001,262.869995,264.899994,14210300,264.899994
"2217",268.109985,277.899994,267.820007,273.880005,21834000,273.880005
"2218",269.140015,269.73999,264.019989,268.399994,20600200,268.399994
"2219",269.079987,275.959991,268.5,273.75,16844800,273.75
"2220",276.079987,282.140015,274.799988,279.279999,22437700,279.279999
"2221",275.709991,286.230011,275.410004,284.01001,21315000,284.01001
"2222",279.869995,285.190002,278.279999,278.619995,18728300,278.619995
"2223",281.220001,292.799988,281.200012,290.109985,38930500,290.109985
