"AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted","returns"
3.545,3.5945,3.4625,3.5445,238358000,3.5445,0.0117025831311546
3.545,3.606,3.54,3.597,164906000,3.597,0.0148116800677105
3.6425,3.6435,3.5595,3.62,196664000,3.62,0.00639421740339174
3.617,3.632,3.57,3.5915,156272000,3.5915,-0.00787292817679563
3.5775,3.583,3.484,3.4905,237420000,3.4905,-0.0281219546150634
3.5125,3.525,3.4525,3.455,183452000,3.455,-0.0101704626844291
3.458,3.4885,3.433,3.4835,152194000,3.4835,0.00824891461649768
3.4775,3.494,3.421,3.443,167652000,3.443,-0.0116262379790439
3.4675,3.4815,3.415,3.433,151870000,3.433,-0.00290444379901256
3.4265,3.4315,3.369,3.374,224956000,3.374,-0.0171861345761724
3.348,3.4105,3.3355,3.407,164858000,3.407,0.00978067575577946
3.423,3.5115,3.4075,3.4445,195644000,3.4445,0.0110067508071618
3.4515,3.4595,3.4075,3.4205,106332000,3.4205,-0.00696762955436203
3.4405,3.4855,3.41,3.4805,98122000,3.4805,0.0175412951322906
3.502,3.5025,3.451,3.4725,44470000,3.4725,-0.00229852032753919
3.468,3.4825,3.403,3.4365,89758000,3.4365,-0.01036717062635
3.4375,3.465,3.4005,3.4485,92306000,3.4485,0.00349192492361405
3.469,3.6175,3.451,3.6035,296338000,3.6035,0.0449470784399013
3.5825,3.597,3.5035,3.514,177708000,3.514,-0.0248369640627168
3.529,3.5825,3.5075,3.5365,131872000,3.5365,0.00640295959021064
3.5655,3.6785,3.5365,3.6395,229032000,3.6395,0.0291248409444365
3.654,3.7675,3.6485,3.755,250040000,3.755,0.0317351284517104
3.7365,3.742,3.65,3.6845,166698000,3.6845,-0.0187749667110519
3.7195,3.726,3.6795,3.6895,121688000,3.6895,0.00135703623286743
3.6635,3.6745,3.6125,3.666,125794000,3.666,-0.00636942675159236
3.712,3.716,3.656,3.6675,105470000,3.6675,0.000409165302782233
3.631,3.648,3.525,3.5815,182614000,3.5815,-0.0234492160872528
3.589,3.6335,3.5425,3.587,185356000,3.587,0.00153566941225747
3.552,3.608,3.4425,3.4625,506846000,3.4625,-0.0347086701979371
4.233,4.44,4.1825,4.309,1209048000,4.309,0.244476534296029
4.251,4.45,4.1715,4.2005,465342000,4.2005,-0.025179856115108
4.2135,4.2665,4.124,4.202,278852000,4.202,0.000357100345196981
4.15,4.2025,4.0755,4.135,257112000,4.135,-0.0159447881960971
4.185,4.1865,3.9,3.927,282090000,3.927,-0.0503022974607013
3.905,3.9075,3.753,3.8655,338360000,3.8655,-0.0156608097784569
3.893,3.988,3.806,3.9855,207232000,3.9855,0.0310438494373302
3.977,4.0375,3.8355,3.84,159750000,3.84,-0.036507339104253
3.853,3.95,3.83,3.95,180058000,3.95,0.0286458333333335
3.9275,4,3.8945,3.957,161186000,3.957,0.00177215189873414
3.9885,3.994,3.828,3.889,164896000,3.889,-0.0171847359110437
3.82,3.863,3.7055,3.7055,166968000,3.7055,-0.0471843661609669
3.6575,3.825,3.6185,3.739,181352000,3.739,0.00904061530157874
3.8045,3.816,3.735,3.7435,121372000,3.7435,0.00120353035571008
3.7395,3.7395,3.646,3.6725,118924000,3.6725,-0.0189662080940297
3.651,3.7575,3.613,3.619,127518000,3.619,-0.0145677331518038
3.6,3.662,3.5025,3.6395,215746000,3.6395,0.00566454821773954
3.7245,3.752,3.6555,3.751,144812000,3.751,0.0306360763841187
3.749,3.764,3.69,3.735,118322000,3.735,-0.00426552919221546
3.7105,3.8915,3.7045,3.8745,168582000,3.8745,0.0373493975903614
3.912,3.9745,3.892,3.925,136962000,3.925,0.0130339398632082
3.947,3.95,3.8255,3.865,113300000,3.865,-0.0152866242038215
3.84,3.97,3.8345,3.9625,113314000,3.9625,0.0252263906856403
4.028,4.04,3.921,3.9325,139026000,3.9325,-0.007570977917981
3.893,3.9325,3.804,3.811,115340000,3.811,-0.0308963763509218
3.848,3.9525,3.843,3.9525,101536000,3.9525,0.037129362372081
3.92,4.0055,3.915,3.934,92576000,3.934,-0.00468058191018339
4,4.0265,3.985,3.9955,123148000,3.9955,0.0156329435688864
3.995,4.1765,3.9865,4.135,165320000,4.135,0.0349142785633838
4.112,4.2445,4.111,4.1875,181244000,4.1875,0.012696493349456
4.225,4.323,4.1425,4.3105,176538000,4.3105,0.0293731343283583
4.235,4.2485,4.1605,4.226,164624000,4.226,-0.0196032942814059
4.2465,4.258,4.1255,4.167,107338000,4.167,-0.013961192617132
4.2085,4.3305,4.1765,4.314,137196000,4.314,0.0352771778257739
4.3035,4.4445,4.2985,4.365,180606000,4.365,0.0118219749652295
4.3975,4.4035,4.325,4.363,119670000,4.363,-0.000458190148911797
4.3205,4.4045,4.3155,4.3885,79094000,4.3885,0.00584460233784068
4.349,4.367,4.299,4.3455,89690000,4.3455,-0.00979833656146734
4.369,4.58,4.3355,4.4375,178488000,4.4375,0.0211713266597628
4.476,4.491,4.413,4.45,129174000,4.45,0.0028169014084507
4.445,4.521,4.441,4.4825,115616000,4.4825,0.00730337078651688
4.5145,4.595,4.4825,4.565,130490000,4.565,0.0184049079754602
4.565,4.6875,4.5405,4.6295,106436000,4.6295,0.0141292442497261
4.5995,4.675,4.5475,4.674,116006000,4.674,0.00961226914353608
4.702,4.713,4.6145,4.6715,115406000,4.6715,-0.000534873769790445
4.7035,4.7055,4.6555,4.669,56254000,4.669,-0.000535160012843927
4.6385,4.68,4.585,4.6575,96274000,4.6575,-0.00246305418719206
4.671,4.705,4.6415,4.6705,107948000,4.6705,0.00279119699409547
4.693,4.695,4.57,4.618,97344000,4.618,-0.0112407665132211
4.6095,4.64,4.589,4.623,101044000,4.623,0.00108271979211771
4.6275,4.6285,4.5725,4.613,66366000,4.613,-0.00216309755569977
4.6775,4.6855,4.617,4.6715,110470000,4.6715,0.0126815521352699
4.711,4.7925,4.7,4.7925,148568000,4.7925,0.0259017446216421
4.8295,4.8365,4.7375,4.766,142892000,4.766,-0.00552947313510699
4.775,4.7875,4.7185,4.733,111356000,4.733,-0.00692404532102397
4.7665,4.787,4.4065,4.467,196448000,4.467,-0.0562011409254173
4.471,4.6195,4.446,4.6185,167198000,4.6185,0.033915379449295
4.59,4.606,4.505,4.5265,112176000,4.5265,-0.0199198874093319
4.4345,4.5025,4.425,4.4765,170230000,4.4765,-0.011046062078869
4.595,4.595,4.453,4.5275,153574000,4.5275,0.0113928292192562
4.4685,4.5215,4.4575,4.4925,106590000,4.4925,-0.00773053561568193
4.4965,4.5325,4.466,4.488,182524000,4.488,-0.00100166944908164
4.4625,4.5845,4.451,4.5645,197368000,4.5645,0.0170454545454544
4.764,5.0545,4.7105,5.041,835236000,5.041,0.104392595026838
4.5435,4.544,4.1635,4.4365,832348000,4.4365,-0.119916683197778
4.4115,4.475,4.316,4.4105,232618000,4.4105,-0.00586047560013525
4.45,4.544,4.385,4.5,176524000,4.5,0.0202924838453691
4.5205,4.5735,4.474,4.505,141944000,4.505,0.00111111111111106
4.4835,4.5325,4.4025,4.412,108108000,4.412,-0.0206437291897891
4.4025,4.48,4.35,4.4575,140896000,4.4575,0.0103127833182231
4.3875,4.479,4.325,4.3825,165314000,4.3825,-0.016825574873808
