"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2211",27.705,28.112499,27.67,27.9475,132197200,25.437532
"2212",27.8225,27.879999,27.389999,27.5525,177849600,25.078012
"2213",27.7325,28.025,27.622499,27.965,150694000,25.453463
"2214",27.945,28,27.6325,27.76,156930400,25.266874
"2215",27.700001,27.9375,27.5275,27.932501,119036800,25.42388
"2216",27.834999,28.5425,27.705,28.442499,195871200,25.888079
"2217",28.5,28.895,28.424999,28.440001,167180800,25.885798
"2218",28.5825,28.875,28.525,28.875,166616400,26.281734
"2219",29.174999,29.807501,29.0825,29.77,237467600,27.096355
"2220",29.52,29.532499,28.73,28.82,265335200,26.231676
"2221",28.85,29.135,28.497499,28.637501,279537600,26.065567
"2222",29.2325,29.825001,29.014999,29.817499,342205600,27.139584
"2223",29.674999,30.172501,29.567499,30.1325,204909200,27.426298
"2224",30.247499,30.305,29.862499,29.875,197461200,27.191919
"2225",30.200001,30.34,29.9025,30.295,128813200,27.574207
"2226",30.1975,30.872499,30.174999,30.6425,182076000,27.890495
"2227",30.782499,30.955,30.405001,30.5,179544400,27.760792
"2228",30.4625,30.672501,30.045,30.23,158210800,27.63282
"2229",30.2775,30.452499,30.155001,30.264999,132169200,27.664816
"2230",30.24,30.452499,30.012501,30.1425,135485600,27.552835
"2231",29.225,29.5175,29.014999,29.192499,236511600,26.68446
"2232",29.092501,29.355,28.8025,29.0275,180872000,26.53363
"2233",29.065001,29.205,28.9125,28.93,130102400,26.444508
"2234",28.799999,28.8925,28.067499,28.084999,183249600,25.672106
"2235",27.844999,28.559999,27.75,28.545,152426800,26.092587
"2236",28.73,28.762501,28.33,28.422501,110467600,25.980606
"2237",28.940001,29.372499,28.875,29.3225,186698800,26.803288
"2238",29.41,29.9375,29.190001,29.695,173183200,27.143776
"2239",29.799999,29.98,29.7125,29.825001,137148400,27.262619
"2240",29.817499,29.932501,29.334999,29.4375,129930000,26.908403
"2241",29.3325,29.8375,29.280001,29.719999,171212800,27.166636
"2242",29.8025,29.807501,29.48,29.5075,85553200,26.972393
"2243",29.5725,29.602501,29.4,29.452499,52185600,26.922119
"2244",29.497499,29.852501,29.4375,29.575001,156721200,27.034092
"2245",29.6875,29.702499,29.215,29.334999,139409600,26.814711
"2246",29.334999,29.5275,29.02,29.07,133546400,26.572483
"2247",29.137501,29.1975,28.555,28.799999,166278000,26.32568
"2248",28.8225,29.8125,28.7775,29.7575,231108000,27.200912
"2249",29.745001,29.965,29.452499,29.57,128336800,27.029524
"2250",29.379999,29.65,29.215,29.557501,137238000,27.018097
"2251",29.41,29.422501,28.77,28.905001,185445600,26.421661
"2252",29.01,29.235001,28.877501,29.0425,116850800,26.547342
"2253",28.797501,28.8475,28.2125,28.295,187544800,25.864061
"2254",28.045,28.17,27.4475,28.120001,257274800,25.704103
"2255",27.985001,28.200001,27.5875,27.622499,213292400,25.249338
"2256",27.7675,27.997499,27.200001,27.834999,224954000,25.443583
"2257",28.004999,28.0625,27.245001,27.245001,179091200,24.904272
"2258",27.227501,27.379999,26.452499,26.5075,385813200,24.230137
"2259",26.82,26.842501,26.3925,26.8325,190362400,24.527218
"2260",26.85,26.93,26.612499,26.807501,131157600,24.504358
"2261",26.817499,27.2125,26.799999,27.1525,130629600,24.819715
"2262",27.25,27.25,26.987499,27.0075,54281600,24.68718
"2263",26.897499,26.922501,26.545,26.705,106816800,24.410667
"2264",26.74,27.3575,26.715,27.184999,123724800,24.849424
"2265",27.145,27.174999,26.795,26.83,100855200,24.524927
"2266",26.752501,26.7575,26.205,26.315001,163649200,24.054173
"2267",25.6525,26.342501,25.5,26.3375,270597600,24.074739
"2268",26.4375,26.4625,25.602501,25.6775,223164000,23.471445
"2269",25.139999,25.592501,24.967501,25.174999,273829600,23.012114
"2270",24.67,25.032499,24.1075,24.112499,324377600,22.040895
"2271",24.637501,24.7775,24.190001,24.24,283192000,22.15745
"2272",24.7425,24.764999,24.334999,24.6325,198957600,22.516226
"2273",25.137501,25.172501,24.709999,24.99,196616800,22.843012
"2274",25.08,25.297501,24.325001,24.3475,249758400,22.255711
"2275",24.49,25.120001,23.934999,24.879999,252680400,22.742456
"2276",24.049999,24.4275,23.84,24.282499,319335600,22.196291
"2277",24.602501,24.6625,23.875,24.165001,212350800,22.088894
"2278",23.775,24.547501,23.355,24.1975,289337600,22.118597
"2279",24.264999,24.469999,23.735001,24.075001,208646000,22.00662
"2280",24.657499,25.365,24.592501,25.355,263202000,23.176649
"2281",25.379999,25.3825,24.8025,24.860001,207178000,22.724178
"2282",24.9825,25.219999,24.5175,24.997499,300308000,22.849861
"2283",24.01,24.157499,23.334999,23.355,533478800,21.348473
"2284",23.4475,23.629999,23.0975,23.522499,222715200,21.501591
"2285",23.6975,24.334999,23.5875,24.334999,257666000,22.244289
"2286",24.1175,24.1775,23.85,24.1075,163774000,22.036327
"2287",23.855,24.01,23.57,23.620001,149428800,21.590714
"2288",23.75,24.209999,23.52,24.0875,183857200,22.018045
"2289",23.965,24.3325,23.797501,24.15,185886800,22.194956
"2290",24.129999,24.23,23.422501,23.504999,185672400,21.602177
"2291",23.282499,23.924999,23.26,23.752501,216085600,21.829643
"2292",23.5725,23.985001,23.4825,23.747499,177324800,21.825045
"2293",23.98,24.0875,23.525,23.567499,169374400,21.659622
"2294",23.4475,23.68,23.147499,23.424999,200298800,21.528654
"2295",23.547501,23.625,23.252501,23.497499,161405600,21.59528
"2296",23.754999,24.2125,23.6525,24.16,196231600,22.204155
"2297",24.1675,24.5525,24.0375,24.530001,179452800,22.544205
"2298",24.709999,24.7225,24.022499,24.065001,156084000,22.116844
"2299",24,24.190001,23.950001,24.01,141496800,22.066288
"2300",24.077499,24.225,23.98,24.219999,137123200,22.259293
"2301",24.1,24.125,23.637501,23.672501,127770400,21.756121
"2302",23.495001,24.094999,23.33,24.025,145022800,22.080078
"2303",24.012501,24.190001,23.8125,24.190001,110330800,22.231722
"2304",24.299999,24.504999,24.145,24.227501,115964400,22.266184
"2305",24.215,24.557501,24.1625,24.172501,140865200,22.215639
"2306",24.4125,25.192499,24.355,25.1325,201628400,23.097927
"2307",25.127501,25.2225,24.91,25.1875,132678400,23.148472
"2308",25.145,25.4275,25.112499,25.375,147822800,23.320795
"2309",25.592501,25.9375,25.342501,25.752501,184220400,23.667734
"2310",25.5975,25.7075,25.24,25.467501,143315600,23.405804
"2311",25.195,25.440001,25.1,25.2575,126247600,23.212807
"2312",25.327499,25.395,25.067499,25.280001,108806800,23.233484
"2313",25.352501,25.559999,25.0375,25.2925,134054400,23.244972
"2314",25.559999,25.57,25.375,25.565001,109632800,23.495411
"2315",25.477501,25.727501,25.445,25.629999,100304400,23.555157
"2316",25.99,26.295,25.9625,26.145,160270800,24.028461
"2317",26.1525,26.577499,26.147499,26.4925,153214000,24.347828
"2318",26.379999,26.6175,26.24,26.450001,137682800,24.308765
"2319",26.584999,26.625,26.297501,26.48,176820800,24.336342
"2320",26.4825,26.9125,26.285,26.477501,142010800,24.334045
"2321",26.3125,26.8225,26.3025,26.68,129777600,24.520147
"2322",26.620001,26.7675,26.475,26.532499,102814000,24.384586
"2323",26.3675,26.5625,26.2225,26.4175,104532000,24.278906
"2324",26.5,26.547501,26.264999,26.297501,77645600,24.168612
"2325",26.2225,26.9475,26.219999,26.92,124760400,24.740723
"2326",27.1625,27.605,27.15,27.389999,182404400,25.172668
"2327",27.43,27.475,27.219999,27.247499,103553600,25.041706
"2328",27.195,27.5,27.049999,27.497499,103496000,25.271471
"2329",27.605,28.047501,27.567499,27.780001,149424800,25.531097
"2330",27.377501,27.682501,27.355,27.452499,106314800,25.230106
"2331",27.557501,27.745001,27.299999,27.74,105616400,25.494339
"2332",27.487499,27.605,27.030001,27.135,127207600,24.938316
"2333",27.227501,27.442499,27.0425,27.165001,94326800,24.965883
"2334",27.2425,27.6525,27.2075,27.254999,117630000,25.048601
"2335",27.334999,27.625,27.165001,27.610001,108929200,25.374865
"2336",27.700001,28.084999,27.700001,28.01,133029200,25.742479
"2337",27.905001,28.0975,27.8325,28.025,101895600,25.756266
"2338",28.0275,28.075001,27.432501,27.4625,187756000,25.239302
"2339",27.2225,27.237499,26.735001,26.870001,243286000,24.694765
"2340",26.969999,27,26.557501,26.727501,129539600,24.563807
"2341",26.66,27.022499,26.514999,26.782499,122444000,24.614353
"2342",26.7325,26.7325,26.379999,26.4925,126210000,24.347828
"2343",26.252501,26.620001,26.155001,26.42,134732400,24.281197
"2344",26.25,26.4125,26.127501,26.27,112126400,24.143347
"2345",25.977501,26.325001,25.977501,26.0875,224064800,23.975615
"2346",24,24.6775,23.92,24.455,458408400,22.475269
"2347",24.4025,24.469999,23.5625,23.7075,328970800,21.78829
"2348",23.497499,23.68,23.127501,23.434999,274126000,21.537838
"2349",23.4925,23.52,23.1,23.41,192640400,21.51487
"2350",23.549999,23.934999,23.42,23.795,227325200,21.868704
"2351",23.799999,23.975,23.455,23.547501,164102000,21.641239
"2352",23.5,23.5175,23.17,23.309999,143562000,21.553394
"2353",23.342501,23.362499,22.9625,23.18,174799600,21.433193
"2354",23.25,23.442499,23.147499,23.1975,131745600,21.449373
"2355",23.3325,23.3925,23.0275,23.355,134747200,21.595001
"2356",23.370001,23.3925,23.115,23.127501,114876400,21.384651
"2357",23.18,23.195,22.3675,22.584999,305258800,20.883032
"2358",22.5,22.9175,22.5,22.629999,177571200,20.924641
"2359",23.0975,23.5975,22.9125,23.469999,245039200,21.701344
"2360",23.637501,23.674999,23.252501,23.372499,187667600,21.611183
"2361",23.540001,23.8025,23.4725,23.639999,168249600,21.858528
"2362",23.66,23.66,23.3925,23.549999,121768400,21.775309
"2363",23.66,23.8575,23.629999,23.805,128104000,22.011095
"2364",23.967501,24.297501,23.9175,24.1075,152074400,22.290798
"2365",24.305,24.522499,24.209999,24.475,140560800,22.630608
"2366",24.6675,24.934999,24.5275,24.905001,152675200,23.028202
"2367",24.92,25.182501,24.66,25.102501,225324800,23.210819
"2368",24.860001,25.1175,24.8125,25.0875,145364800,23.196945
"2369",24.9,25.1,24.705,24.965,169228800,23.083683
"2370",24.754999,24.885,24.5825,24.615,116693200,22.760056
"2371",24.4,24.459999,24.157499,24.43,160766400,22.588995
"2372",24.4475,24.567499,24.362499,24.48,114019600,22.635227
"2373",24.497499,25.4725,24.387501,24.657499,93170000,22.799349
"2374",24.8125,24.967501,24.74,24.7575,89638000,22.891817
"2375",24.754999,24.889999,24.67,24.735001,83392400,22.871008
"2376",24.625,24.997499,24.615,24.9125,106405600,23.035135
"2377",24.6325,24.8375,24.620001,24.7075,126851600,22.845585
"2378",24.672501,24.780001,24.275,24.334999,152082000,22.501158
"2379",24.33,24.620001,24.1875,24.365,127727600,22.528891
"2380",24.455,24.602501,24.2575,24.285,117780800,22.454922
"2381",24.112499,24.4375,24.0175,24.387501,125307200,22.5497
"2382",24.155001,24.1625,23.825001,23.8325,244032800,22.036524
"2383",24,24.1425,23.7575,23.775,137647600,21.983356
"2384",23.735001,24.0875,23.67,23.977501,142185600,22.170593
"2385",24.0625,24.2225,23.8375,23.887501,116876400,22.087379
"2386",23.985001,24.0725,23.8125,24.025,128960800,22.214512
"2387",23.227501,23.665001,23.1625,23.35,301245600,21.590385
"2388",23.25,23.262501,22.875,23.01,181958400,21.276005
"2389",23.225,23.415001,23.035,23.397499,161779600,21.634296
"2390",23.4925,23.637501,23.407499,23.6,146124000,21.821543
"2391",23.610001,23.942499,23.575001,23.9,143345600,22.09894
"2392",23.872499,24.1175,23.8325,23.9725,104106000,22.16597
"2393",23.8475,23.85,23.615,23.747499,110820800,21.957928
"2394",23.65,23.915001,23.592501,23.8825,123796400,22.082748
